,country,ISO
165,Norway,NOR
166,Oman,OMN
167,Pakistan,PAK
168,Palau,PLW
169,Panama,PAN
170,Papua New Guinea,PNG
171,Paraguay,PRY
172,Peru,PER
173,Philippines,PHL
174,Pitcairn,PCN
175,Poland,POL
176,Portugal,PRT
177,Puerto Rico,PRI
178,Qatar,QAT
179,South Korea,KOR
180,Moldova,MDA
181,Réunion,REU
182,Romania,ROU
183,Russia,RUS
184,Rwanda,RWA
185,Saint Barthélemy,BLM
186,Saint Helena,SHN
187,Saint Kitts and Nevis,KNA
188,Saint Lucia,LCA
189,Saint Martin (French Part),MAF
190,Saint Pierre and Miquelon,SPM
191,Saint Vincent and the Grenadines,VCT
192,Samoa,WSM
193,San Marino,SMR
194,Sao Tome and Principe,STP
195,Sark,
196,Saudi Arabia,SAU
197,Senegal,SEN
198,Kosovo,SRB
199,Seychelles,SYC
200,Sierra Leone,SLE
201,Singapore,SGP
202,Sint Maarten (Dutch part),SXM
203,Slovakia,SVK
204,Slovenia,SVN
205,Solomon Islands,SLB
206,Somaliland region,SOM
207,South Africa,ZAF
208,South Georgia and the South Sandwich Islands,SGS
209,South Sudan,SSD
210,Spain,ESP
211,Sri Lanka,LKA
212,Palestinian Territories,PSE
213,Sudan,SDN
214,Suriname,SUR
215,Svalbard and Jan Mayen Islands,SJM
216,Sweden,SWE
217,Switzerland,CHE
218,Syria,SYR
219,Tajikistan,TJK
220,Thailand,THA
221,Timor-Leste,TLS
222,Togo,TGO
223,Tokelau,TKL
224,Tonga,TON
225,Trinidad and Tobago,TTO
226,Tunisia,TUN
227,Turkey,TUR
228,Turkmenistan,TKM
229,Turks and Caicos Islands,TCA
230,Tuvalu,TUV
231,Uganda,UGA
232,Ukraine,UKR
233,United Arab Emirates,ARE
234,United Kingdom,GBR
235,Tanzania,TZA
236,United States Minor Outlying Islands,UMI
237,United States,USA
238,United States Virgin Islands,VIR
239,Uruguay,URY
240,Uzbekistan,UZB
241,Vanuatu,VUT
242,Venezuela,VEN
243,Vietnam,VNM
244,Wallis and Futuna Islands,WLF
245,Western Sahara,ESH
246,Yemen,YEM
247,Zambia,ZMB
248,Zimbabwe,ZWE
249,Cyprus,CYP
250,China,CHN
251,Serbia,SRB
